adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/6CyILXa0BOm6HtV4naOjg5B2RRZ.jpg,"[53, 18, 27]",611605,en,1BR,"When Sarah lucks into a sweet one-bedroom at Asilo Del Mar Apartments in Los Angeles, she thinks she's hit the jackpot. It's got plenty of space, friendly tenants, group BBQs and even a cute neighbour next door. All is not what it seems: loud noises start keeping her awake at night; her cat is missing; everyone seems to be a little too helpful and friendly, except for the weirdo, Lester. Soon, Sarah learns she didn't choose this apartment — it chose her.",12.324,/aiYLasUoJXqOgJ9pnahDMELC9wf.jpg,2019-07-18,1BR,False,6.027,442
False,/pJOYBevz1tMTtexr3KeSx8G6SCN.jpg,"[16, 18, 28, 878]",567006,ja,甲鉄城のカバネリ 海門決戦,"In the midst of an industrial revolution, the people of Hinomoto fight hordes of undead creatures, known as Kabane, using powerful armored trains. Half a year after the events of the original TV series, the heroes of the Iron Fortress attempt to take back Unato Castle.",12.298,/1O5jE1w2wYkFInDHnWYa91TemOO.jpg,2019-05-10,Kabaneri of the Iron Fortress: The Battle of Unato,False,7.136,70
False,/3ai1xA4ndz7UgfqDGPwRKHwT87P.jpg,"[18, 36]",458131,en,The Best of Enemies,"Centers on the unlikely relationship between Ann Atwater, an outspoken civil rights activist, and C.P. Ellis, a local Ku Klux Klan leader who reluctantly co-chaired a community summit, battling over the desegregation of schools in Durham, North Carolina during the racially-charged summer of 1971. The incredible events that unfolded would change Durham and the lives of Atwater and Ellis forever.",12.269,/4pA9318BY7CSnXVi3xKBtPYMe1T.jpg,2019-04-05,The Best of Enemies,False,7.372,414
False,/2Oli8Jo72w4NjkHLOMy6EzkoYkU.jpg,"[18, 12, 10751]",505953,en,Storm Boy,"Storm Boy lives a lonely life with his reclusive father on a desolate coastline, but when he forms a close bond with a pelican, Mr. Percival, his life takes a new and unexpected turn.",12.251,/geQ8xR84vmv44NuYgjmhvHF5HNm.jpg,2019-01-17,Storm Boy,False,7.1,137
False,/rtpDfc1bYmSHLp8VK8xjxkolQY4.jpg,"[18, 53, 10749]",340104,en,Lucy in the Sky,Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space – and begins to lose touch with reality in a world that now seems too small.,12.201,/ofhOB6EGSBqzGHA0MStMx9zWnML.jpg,2019-09-20,Lucy in the Sky,False,4.983,205
False,/1QrEQHXX8nqquTBam25HiMrTRTH.jpg,"[35, 10749, 18]",613868,pt,Primos,"Lucas is a young man who lives with his religious aunt Lourdes in a quiet country town. He helps his aunt by holding religious meetings with the ladies of the area, in the living room, playing biblical songs on the keyboard. This quiet life will end as soon as the charitable aunt communicates the arrival of another nephew, Mario, just out of jail. The clash of reality between the cousins ends up causing unusual situations, and an unexpected attraction among the boys.",12.18,/2o0pzmuQKFhuPnz4hvpfjd3BlNR.jpg,2019-12-10,Cousins,False,7.726,325
False,/fnKFw5zyRJz00Vu4sKmZunhQyVl.jpg,"[35, 18]",631070,en,Speak Your Mind,A coming-of-age dark comedy about an actor trying to find his personal truth in the midst of a politically volatile culture.,12.171,/btRsrY0PUW1ApfRNnvsknTDSLQc.jpg,2019-09-13,Speak Your Mind,False,4.0,2
False,/hJXxDoCwchAuJ4K3gwtno2chgr8.jpg,"[18, 36, 10402]",491283,en,Judy,"Thirty years after starring in ""The Wizard of Oz,"" beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband.",12.163,/iqJhHjD6k6T07waELjMKDpQJUP.jpg,2019-09-27,Judy,False,6.717,1152
False,/7GWDrjxeBsh5onaYf5XHjIM9BA1.jpg,"[28, 80, 18, 53]",578189,en,Black and Blue,"A rookie cop inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops, she teams up with the one person from her community who is willing to help her as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage.",12.11,/1cSHEKYYP8Dpi4o1iBVd4U75FYt.jpg,2019-10-25,Black and Blue,False,6.793,846
False,/fhz01EmeE1aTsqCFvX50hGmFdv5.jpg,"[53, 18]",492002,en,Radioflash,"When a nuclear strike causes an electromagnetic pulse that cuts off all power, water, and communication to the entire western United States, Reese finds herself plunged into an all-too-real fight to survive. As pandemonium grips her city, Reese and her father set out on a desperate journey in search of safety--a perilous trek through a world gone mad where every encounter with a stranger could be your last.",12.088,/z7RNOII2gXkZugOf7TjsISoLYRl.jpg,2019-11-15,Radioflash,False,5.143,77
