adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ArRR0UvZSV1ONjEm84IGZSWHqYq.jpg,"[27, 53]",1291594,en,Beezel,"Over six tumultuous decades, three unwitting guests of a cursed New England home stumble upon a sinister secret dwelling beneath its floors - an eternal witch with an insatiable thirst for the souls of the living.",134.252,/a9gZxhG98LATZJGy1vWssyjVkk.jpg,2024-09-20,Beezel,False,6.4,12
False,/zJkXE1Y56UqNfYH2TfjEN2fwWbl.jpg,"[27, 80, 9648]",1023922,en,MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",131.993,/ArvoFK6nlouZRxYmtIOUzKIrg90.jpg,2024-07-04,MaXXXine,False,6.5,596
False,/oavbmL3iddJUmC8nQjL6bLHwAP4.jpg,[27],719221,en,Tarot,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",127.66,/gAEUXC37vl1SnM7PXsHTF23I2vq.jpg,2024-05-01,Tarot,False,6.655,893
False,/AqMXGMIR4fbmbVbalXoo8ezbloP.jpg,"[27, 53]",1260594,id,Sumala,"Unbeknownst to her husband Soedjiman, Sulastri made a pact with the devil so that she could have children. She gave birth to twins, Kumala, who survived, and Sumala, who died. Kumala grew up to be a kind child, but she was also physically and mentally disabled. She often received bad treatment from the people around her. One day, Sumala came from the world of the dead and made a reckoning with those who had hurt Kumala.",117.485,/cOBX9x98TUSJFM6gfY7eDjZwIuh.jpg,2024-09-26,Sumala,False,5.8,2
False,/vvIKttfL7SoE9rZyLkg6TaAVsDH.jpg,"[27, 53]",1010600,en,The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives.",115.093,/oYsCNpW4k7Pd7ac3uQfBhr2ihtW.jpg,2024-05-15,The Strangers: Chapter 1,False,5.912,329
False,/9LsZh2O1sidMvxKuMCI9RDzdZj4.jpg,"[53, 27, 80, 9648]",1245708,en,Crescent City,"When a ruthless serial killer terrorizes a small Southern town, everyone becomes a suspect -- including local authorities. As the body count rises and the dark mystery deepens, the chief detective becomes haunted by the horrors of his past.",114.876,/kWwIkWextuqVUvAEM9DwJfEfkKe.jpg,2024-08-16,Crescent City,False,6.0,38
False,/b6DU3kBmicMbpNvvkqf1cHaceMF.jpg,"[27, 18]",814889,en,Never Let Go,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.",113.36,/3EpZ2ksjijmdr8BhISP03PYzNFW.jpg,2024-09-18,Never Let Go,False,5.9,39
False,/wXx72bbhhnfORmlSNMWR28fPd8b.jpg,"[27, 9648, 53]",1086747,en,The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",112.084,/vZVEUPychdvZLrTNwWErr9xZFmu.jpg,2024-06-06,The Watchers,False,6.482,896
False,/6GhU4BJnqLSaAuz0yQBq3RfdzsF.jpg,"[27, 9648]",1216191,en,Oddity,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.",111.529,/uln9Efc2vzDOl0Fue2BPs8l1WO7.jpg,2024-07-19,Oddity,False,6.882,187
False,/zODktecT7S3jbEW4tmjRcmlzKke.jpg,"[27, 53]",1090323,en,#AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. But their weekend of partying quickly takes a turn, as the group is murdered one by one, in correspondence with the seven deadly sins.",107.569,/hbQPeTiRYxLNVOakBboMeCQiwQq.jpg,2024-08-29,#AMFAD: All My Friends Are Dead,False,5.429,7
