adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/tVIzzMLT9pye5BWNwHovBleruNS.jpg,[28],662167,en,Agent Jade Black,A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.,14.971,/wGHaEtBz6AXqGVooaADB1tlyjBp.jpg,2020-09-29,Agent Jade Black,False,3.6,5
False,/kDQdFs5XL6G8TuXvd0NnJfQ59GP.jpg,"[878, 12, 28, 35, 53]",641501,fr,Comment je suis devenu super-héros,"Paris 2020. While superheroes have assimilated into the Parisian society, they discover a new drug that gives themselves personal superpowers to mere mortals. Lieutenants Moreau and Schaltzmann are investigating the case with the support of two ex-superheroes, Monte Carlo and Callista. They'll do whatever it takes to dismantle the traffic. But Moreau's past resurfaces, and the investigation becomes more complicated.",14.79,/d0wn9YtEnmbucx8ZUsT918ctoiK.jpg,2020-11-19,How I Became a Superhero,False,6.058,494
False,/488roF3zG3SYA8kbp69UFor74Da.jpg,"[18, 28, 10752]",442065,en,The Last Full Measure,"The incredible true story of Vietnam War hero William H. Pitsenbarger, a U.S. Air Force Pararescuemen medic who personally saved over sixty men. Thirty-two years later, Pentagon staffer Scott Huffman investigates a Congressional Medal of Honor request for Pitsenbarger and uncovers a high-level conspiracy behind the decades-long denial of the medal, prompting Huffman to put his own career on the line to seek justice for the fallen airman.",14.669,/bMG8c80lyEkBXVgyHVqsdQhjgf6.jpg,2020-01-23,The Last Full Measure,False,7.345,436
False,/an4UrbuWK7TEOeur9TesuMzqSYC.jpg,"[28, 878, 14]",590706,en,Jiu Jitsu,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",14.304,/eLT8Cu357VOwBVTitkmlDEg32Fs.jpg,2020-11-20,Jiu Jitsu,False,4.817,599
False,/bd8seYHzQHenNY3072b3YSxEuY1.jpg,"[878, 28]",688258,en,Occupation: Rainfall,"Two years into an intergalactic invasion of Earth, survivors in Sydney, Australia, fight back in a desperate ground war. As casualties mount by the day, the resistance and their unexpected allies, uncover a plot that could see the war come to a decisive end. With the Alien invaders hell-bent on making earth their new home, the race is on to save mankind.",14.192,/vpq8XjZ3ZalcbqWOYIdqcV7FbIJ.jpg,2020-10-30,Occupation: Rainfall,False,6.2,235
False,/aHYUj0hICtWZ5tPiCIm6pWUcjYK.jpg,"[27, 28, 10752]",675327,en,Shadow in the Cloud,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,14.099,/t7EUMSlfUN3jUSZUJOLURAzJzZs.jpg,2020-12-31,Shadow in the Cloud,False,5.839,952
False,/iJDyvQuTMp0ByKrz0KB8eUXJVst.jpg,"[80, 28, 18]",581526,ko,다만 악에서 구하소서,"A retired contract killer goes on a bloody rampage when a young girl finds herself at the mercy of gangland human traffickers and only one man can come to her rescue, with an arsenal of weapons and years of experience in the art of killing.",14.072,/hngKHgBHRD5nbTx92zatBC6eMSP.jpg,2020-08-05,Deliver Us from Evil,False,6.859,191
False,/9pHxv7TX0jOKNgnGMDP6RJ2m1GL.jpg,"[28, 53]",737568,en,The Doorman,"A former Marine turned doorman at a luxury New York City high-rise must outsmart and battle a group of art thieves and their ruthless leader — while struggling to protect her sister's family. As the thieves become increasingly desperate and violent, the doorman calls upon her deadly fighting skills to end the showdown.",14.035,/pklyUbh4k1DbHdnsOMASyw7C6NH.jpg,2020-10-01,The Doorman,False,5.814,406
False,/bpHseZ8Vwh3nk7cowKxQ68Dm2Xq.jpg,"[28, 18, 53]",616803,sv,Breaking Surface,"Two Swedish/Norwegian half sisters go on a winter diving trip in Northern Norway, when they get trapped after a rockslide.",13.955,/zlOvKg5WkXcwcmqy2KaiXoXLAky.jpg,2020-02-14,Breaking Surface,False,6.764,399
False,/pQdZmXq0vvKP1RYUrDHQkzMlS4x.jpg,"[16, 28, 12, 14]",571265,ja,デジモンアドベンチャー LAST EVOLUTION 絆,"Tai is now a university student, living alone, working hard at school, and working every day, but with his future still undecided. Meanwhile, Matt and others continue to work on Digimon incidents and activities that help people with their partner Digimon. When an unprecedented phenomenon occurs, the DigiDestined discover that when they grow up, their relationship with their partner Digimon will come closer to an end.",13.898,/rElHXdBX2ou2ju1Be3QiuOJrplb.jpg,2020-02-21,Digimon Adventure: Last Evolution Kizuna,False,8.131,240
False,/mPNGcX1j5SFeDETkvcJA9POaNx8.jpg,"[28, 18, 878, 53]",429415,en,Extinction,"A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",13.805,/qjnNdjrZIdi7d316SjjkgEjJRSg.jpg,2020-01-18,Extinction,False,6.327,669
False,/psR9bcpM35umRHVGO6bFnBqoVoR.jpg,"[28, 18, 12, 9648, 53]",755401,en,Skydog,"After a high school senior working on his pilot’s license rescues a dog named Oreo, he finds out his mom is a CIA agent who’s been captured. He teams up with Oreo and a new friend to find his mother and uncover double agents inside the CIA.",13.765,/uFrGWV53DHrhBsqIaBLjm2ilLG8.jpg,2020-10-20,Skydog,False,6.3,15
False,/nxxODhq9I05Ze9uLONGvfDrzaUO.jpg,"[53, 28]",601165,en,Legacy of Lies,An ex-MI6 agent is thrown back into the world of espionage and high stakes to uncover the shocking truth about operations conducted by unknown secret services.,13.644,/bhNHCeJDFDaB00A46AoCw2mggdE.jpg,2020-07-28,Legacy of Lies,False,5.6,222
False,/o0F8xAt8YuEm5mEZviX5pEFC12y.jpg,"[12, 14, 878, 10751, 28]",475430,en,Artemis Fowl,Artemis Fowl is a 12-year-old genius and descendant of a long line of criminal masterminds. He soon finds himself in an epic battle against a race of powerful underground fairies who may be behind his father's disappearance.,13.558,/tI8ocADh22GtQFV28vGHaBZVb0U.jpg,2020-05-29,Artemis Fowl,False,5.59,1627
False,/jgj73WS5IJq8OCGNZJUBGV6mkkK.jpg,"[28, 35]",604362,ko,히트맨,A failing webtoon artist finds he's drawn a target on his own back after publishing a story containing real secrets from his former life as a superspy.,13.368,/dAt3nolyXLEEuXiIXZwv1iikbcA.jpg,2020-01-22,Hitman: Agent Jun,False,7.262,61
False,/uehwVV9xuALZ2SXeHGiX4Ay5dR7.jpg,"[878, 16, 28]",618355,en,Superman: Red Son,"Set in the thick of the Cold War, Red Son introduces us to a Superman who landed in the USSR during the 1950s and grows up to become a Soviet symbol that fights for the preservation of Stalin’s brand of communism.",13.22,/frSfz7olCSQsp2SmTyu2ciGGQiX.jpg,2020-02-24,Superman: Red Son,False,7.1,803
False,/6MPOr6nZAMbStXq2dNF7ocqghLO.jpg,"[16, 28, 878]",618354,en,Superman: Man of Tomorrow,"It’s the dawn of a new age of heroes, and Metropolis has just met its first. But as Daily Planet intern Clark Kent – working alongside reporter Lois Lane – secretly wields his alien powers of flight, super-strength and x-ray vision in the battle for good, there’s even greater trouble on the horizon.",12.956,/n9GtiJiBETVFayQy7YnVdF9AucU.jpg,2020-08-23,Superman: Man of Tomorrow,False,7.102,436
False,/cStOy6KckiZjxZJStHiCCHNRW9t.jpg,"[28, 80, 53]",696002,en,Paydirt,"A parolee teams up with his old crew determined to find a buried bag of cash stolen a decade ago from a DEA bust gone bad, while being tracked by a retired Sheriff.",12.906,/jAGGV80ZO10YcmUJXK7YSBh1yvK.jpg,2020-08-07,Paydirt,False,5.8,68
False,/iy9uFMJvzlDC3kMFPI2Fk2HJZ2x.jpg,"[28, 35, 18]",628241,te,అల వైకుంఠపురములో,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.",12.878,/goVGxWzvxs8oMNJ1Zc0QmfJlIzs.jpg,2020-01-12,Ala Vaikunthapurramuloo,False,6.637,84
False,/w9vIb69U3rCNrpktTL8a89Meomf.jpg,"[16, 28, 12, 878]",724475,en,Ben 10 vs. the Universe: The Movie,"A blast from Ben's past returns to do double the damage on Team Tennyson and planet Earth itself, forcing Ben to go interstellar to save the day. Based on the 2016 reboot.",12.7,/34KSOJVowmkeh6G0HZJMxqdHq6s.jpg,2020-10-02,Ben 10 vs. the Universe: The Movie,False,7.5,119
False,/a8ppJJIQmEJcLSFfhxupc4aT4KW.jpg,"[18, 28, 53]",571785,ko,사냥의 시간,"Four young men want to leave their dystopian world behind and go to a distant paradise to execute a money robbery, a daring act that will have unexpected consequences.",12.7,/bkuuvDoPkOJpg0ZDzHkUWt8ZG5A.jpg,2020-02-22,Time to Hunt,False,7.223,310
False,/hIHtyIYgBqHybOgUdoAmveipuiO.jpg,"[28, 27, 878]",703745,en,Deep Blue Sea 3,"Dr. Emma Collins and her team are spending their third summer on the island of Little Happy studying the effect of climate change on the great white sharks who come to the nearby nursery every year to give birth. Along with the last two inhabitants of this former fishing village, their peaceful life is disrupted when a ""scientific"" team led by her ex-boyfriend and marine biologist Richard show up looking for three bull sharks who we soon learn aren't just any bull sharks.",12.599,/bKthjUmxjHjvJK8FktFfQdmwP12.jpg,2020-08-25,Deep Blue Sea 3,False,5.618,309
False,/wualVjoU8z2qEjshROwaLwjG8dT.jpg,"[28, 12, 14]",611395,zh,征途,"Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle.",12.376,/lv3RonWge4GlC9ymNzC0oWpFCfv.jpg,2020-07-21,Double World,False,6.73,230
